WORD,CATEGORY,BASIC
motion,,
motivation,,
motor,,
mount,,
mountain,,Nature
mouse,,
mouth,,Body
move,,
movement,,
movie,,Communication
Mr,,
Mrs,,
Ms,,
much,,Degree
multiple,,
murder,,
muscle,,Body
museum,,
music,,Perception
musical,,
musician,,
Muslim,,
must,,
mutual,,
my,,
myself,,
mystery,,
myth,,
naked,,
name,,Communication
narrative,,
narrow,,Opposites
nation,,Hierarchy
national,,
native,,
natural,,
naturally,,
nature,,
near,,Prepositions
nearby,,
nearly,,
necessarily,,
necessary,,
neck,,Body
need,,
negative,,
negotiate,,
negotiation,,
neighbor,,
neighborhood,,
neither,,
nerve,,
nervous,,
net,,Object
network,,
never,,
nevertheless,,
new,,Time
newly,,
news,,
newspaper,,
next,,
nice,,
night,,Time
nine,,
no,,
nobody,,
nod,,
noise,,Communication
nomination,,
none,,
nonetheless,,
nor,,
normal,,
normally,,
north,,Space
northern,,
nose,,Body
not,,Functions
note,,
nothing,,
notice,,
notion,,
novel,,
now,,
nowhere,,
n't,,
nuclear,,
number,,Quantity
numerous,,
nurse,,
nut,,
object,,
objective,,
obligation,,
observation,,
observe,,
observer,,
obtain,,
obvious,,
obviously,,
occasion,,
occasionally,,
occupation,,
occupy,,
occur,,
ocean,,
odd,,
odds,,
of,,Prepositions
off,,
offense,,
offensive,,
offer,,Business
office,,
officer,,
official,,
often,,
oh,,
oil,,Material
ok,,
okay,,
old,,Opposites
Olympic,,
on,,Prepositions
once,,
one,,
ongoing,,
onion,,
online,,
only,,Functions
onto,,
open,,Properties
opening,,
operate,,
operating,,
operation,,
operator,,
opinion,,Mind
opponent,,
opportunity,,
oppose,,
opposite,,Opposites
opposition,,
option,,
or,,Conjunctives
orange,,Nature
order,,Communication
ordinary,,
organic,,
organization,,
organize,,
orientation,,
origin,,
original,,
originally,,
other,,Prepositions
others,,
otherwise,,
ought,,
our,,
ourselves,,
out,,Activity
outcome,,
outside,,
oven,,Object
over,,Prepositions
overall,,
overcome,,
overlook,,
owe,,
own,,
owner,,
pace,,
pack,,
package,,
page,,Communication
pain,,Life
painful,,
paint,,Material
painter,,
painting,,
pair,,
pale,,
Palestinian,,
palm,,
pan,,
panel,,
pant,,
paper,,Material
parent,,
park,,
parking,,
part,,
participant,,
participate,,
participation,,
particular,,
particularly,,
partly,,
partner,,
partnership,,
party,,
pass,,
passage,,
passenger,,
passion,,
past,,Time
patch,,
path,,
patient,,
pattern,,
pause,,
pay,,
payment,,
PC,,
peace,,Mind
peak,,
peer,,
penalty,,
people,,
pepper,,
per,,
perceive,,
percentage,,
perception,,
perfect,,
perfectly,,
perform,,
performance,,
perhaps,,
period,,
permanent,,
permission,,
permit,,
person,,People
personal,,
personality,,
personally,,
personnel,,
perspective,,
persuade,,
pet,,
phase,,
phenomenon,,
philosophy,,
phone,,
photo,,
photograph,,
photographer,,
phrase,,
physical,,
physically,,
physician,,
piano,,
pick,,
picture,,
pie,,
piece,,
pile,,
pilot,,
pine,,
pink,,
pipe,,Object
pitch,,
place,,
plan,,
plane,,
planet,,
planning,,
plant,,Nature
plastic,,
plate,,Object
platform,,
play,,Mind
player,,
please,,
pleasure,,Life
plenty,,
plot,,
plus,,
PM,,
pocket,,Object
poem,,
poet,,
poetry,,
point,,
pole,,
police,,
policy,,
political,,
politically,,
politician,,
politics,,
poll,,
pollution,,
pool,,
poor,,
pop,,
popular,,
population,,
porch,,
port,,
portion,,
portrait,,
portray,,
pose,,
position,,Space
positive,,
possess,,
possibility,,
possible,,
possibly,,
post,,
pot,,Object
potato,,Nature
potential,,
potentially,,
pound,,
pour,,
poverty,,
powder,,Form
power,,Energy
powerful,,
practical,,
practice,,
pray,,
prayer,,
precisely,,
predict,,
prefer,,
preference,,
pregnancy,,
pregnant,,
preparation,,
prepare,,
prescription,,
presence,,
present,,Space
presentation,,
preserve,,
president,,
presidential,,
press,,
pressure,,
pretend,,
pretty,,
prevent,,
previous,,
previously,,
price,,
pride,,
priest,,
primarily,,
primary,,
prime,,
principal,,
principle,,
print,,Communication
prior,,
priority,,
prison,,
prisoner,,
privacy,,
private,,Business
probably,,
problem,,
procedure,,
proceed,,
process,,
produce,,
producer,,
product,,
production,,
profession,,
professional,,
professor,,
profile,,
profit,,
program,,
progress,,
project,,
prominent,,
promise,,
promote,,
prompt,,
proof,,
proper,,
properly,,
property,,
proportion,,
proposal,,
propose,,
proposed,,
prosecutor,,
prospect,,
protect,,
protection,,
protein,,
protest,,
proud,,
prove,,
provide,,
provider,,
province,,
provision,,
psychological,,
psychologist,,
psychology,,
public,,Opposites
publication,,
publicly,,
publish,,
publisher,,
pull,,Energy
punishment,,
purchase,,
pure,,
purpose,,
pursue,,
push,,Energy
put,,
qualify,,
quality,,
quarter,,
quarterback,,
question,,
quick,,
quickly,,
quiet,,Perception
quietly,,
quit,,
quite,,
quote,,
race,,
racial,,
radical,,
radio,,
rail,,Object
rain,,Nature
raise,,
range,,
rank,,
rapid,,
rapidly,,
rare,,
rarely,,
rate,,Quantity
rather,,
rating,,
ratio,,
raw,,
reach,,
react,,
reaction,,
read,,
reader,,
reading,,
ready,,
real,,
reality,,
realize,,
really,,
reason,,
reasonable,,
recall,,
receive,,
recent,,
recently,,
recipe,,
recognition,,
recognize,,
recommend,,
recommendation,,
record,,Communication
recording,,
recover,,
recovery,,
recruit,,
red,,Perception
reduce,,
reduction,,
refer,,
reference,,
reflect,,
reflection,,
reform,,
refugee,,
refuse,,
regard,,
regarding,,
regardless,,
regime,,
region,,
regional,,
register,,
regular,,
regularly,,
regulate,,
regulation,,
reinforce,,
reject,,
relate,,
relation,,
relationship,,
relative,,
relatively,,
relax,,
release,,
relevant,,
relief,,
religion,,Mind
religious,,
rely,,
remain,,
remaining,,
remarkable,,
remember,,
remind,,
remote,,
remove,,
repeat,,
repeatedly,,
replace,,
reply,,
report,,
reporter,,
represent,,
representation,,
representative,,
Republican,,
reputation,,
request,,
require,,
requirement,,
research,,
researcher,,
resemble,,
reservation,,
resident,,
resist,,
resistance,,
resolution,,
resolve,,
resort,,
resource,,
respect,,
respond,,
respondent,,
response,,
responsibility,,
responsible,,
rest,,Quantity
restaurant,,
restore,,
restriction,,
result,,
retain,,
retire,,
retirement,,
return,,
reveal,,
revenue,,
review,,
revolution,,
rhythm,,Time
rice,,Nature
rich,,
rid,,
ride,,
rifle,,
right,,Space
ring,,
rise,,
risk,,
river,,Nature
road,,Vehicle
rock,,
role,,
roll,,Motion
romantic,,
roof,,Buildings
room,,
root,,
rope,,
rose,,
rough,,Opposites
roughly,,
round,,
route,,
routine,,
row,,
rub,,
rule,,
run,,Activity
running,,
rural,,
rush,,
Russian,,
sacred,,
sad,,Opposites
safe,,Opposites
safety,,
sake,,
salad,,
salary,,
sale,,
sales,,
salt,,Material
same,,
sample,,
sanction,,
sand,,Material
satellite,,
satisfaction,,
satisfy,,
sauce,,
save,,
saving,,
say,,
scale,,Object
scandal,,
scared,,
scenario,,
scene,,
schedule,,
scheme,,
scholar,,
scholarship,,
school,,Buildings
science,,Abstract
scientific,,
scientist,,
scope,,
score,,
scream,,
screen,,
script,,
sea,,
search,,
season,,
seat,,
second,,
secret,,Opposites
secretary,,
section,,
sector,,
secure,,
security,,
see,,Perception
seed,,
seek,,
seem,,
segment,,
seize,,
select,,
selection,,
self,,
sell,,
Senate,,
senator,,
send,,
senior,,
sense,,Life
sensitive,,
sentence,,
separate,,
sequence,,
series,,
serious,,
seriously,,
serve,,
service,,
session,,
set,,
setting,,
settle,,
settlement,,
seven,,
several,,
severe,,
sex,,Life
sexual,,
shade,,Perception
shadow,,
shake,,Energy
shall,,
shape,,
share,,
sharp,,
she,,
sheet,,
shelf,,Object
shell,,
shelter,,
shift,,
shine,,
